Fracture_Length_m,Fracture_Width_m,Pressure_Gradient_MPa_per_m,Viscosity_Pa_s,Energy_Balance_Target,Energy_Balance_CD,Energy_Balance_PINN
0.1,0.01,1.0,0.001,9.801986733067553,0.0,0.21293893456459045
0.10990990990990991,0.010990990990990991,1.049049049049049,0.0010990990990990992,10.26240478974848,1.4363543871740596,1.3294536057810085
0.11981981981981983,0.011981981981981983,1.098098098098098,0.0011981981981981982,10.720961144836263,2.835046312181774,2.3871366291926535
0.12972972972972974,0.012972972972972972,1.147147147147147,0.0012972972972972972,11.177661365682647,4.201829762298557,3.3922981928176608
0.13963963963963966,0.013963963963963964,1.1961961961961962,0.0013963963963963964,11.632511004891217,5.541233682347638,4.350034975720746
0.14954954954954958,0.014954954954954955,1.2452452452452452,0.0014954954954954957,12.085515600353963,6.856886684747629,5.264575064035348
0.15945945945945947,0.015945945945945946,1.2942942942942943,0.0015945945945945947,12.536680675287773,8.151740860957737,6.13947732450449
0.1693693693693694,0.016936936936936937,1.3433433433433433,0.0016936936936936937,12.986011738270822,9.428230116170397,6.9777942393240835
0.17927927927927928,0.01792792792792793,1.3923923923923924,0.0017927927927927929,13.433514283278917,10.688384743159196,7.7821931557110755
0.1891891891891892,0.01891891891891892,1.4414414414414414,0.001891891891891892,13.879193789721697,11.93391598869044,8.5550204675265
0.19909909909909912,0.01990990990990991,1.4904904904904905,0.0019909909909909913,14.323055722478797,13.166279573995201,9.298371334630577
0.20900900900900904,0.020900900900900903,1.5395395395395395,0.00209009009009009,14.765105531935898,14.386724156508748,10.014140767226522
0.21891891891891893,0.02189189189189189,1.5885885885885886,0.0021891891891891893,15.205348654020689,15.596328822903539,10.704048244290258
0.22882882882882885,0.022882882882882885,1.6376376376376376,0.0022882882882882885,15.643790510238775,16.79603246355206,11.369673286916317
0.23873873873873877,0.023873873873873873,1.6866866866866865,0.0023873873873873873,16.08043650770946,17.98665705040306,12.012468245776596
0.24864864864864866,0.024864864864864868,1.7357357357357357,0.0024864864864864865,16.515292039201473,19.16892627615055,12.633783854428138
0.2585585585585586,0.025855855855855855,1.7847847847847849,0.0025855855855855857,16.948362483168573,20.3434806214366,13.234882389167314
0.2684684684684685,0.02684684684684685,1.8338338338338338,0.002684684684684685,17.379653203785146,21.510889641194613,13.816937557606966
0.2783783783783784,0.027837837837837838,1.8828828828828827,0.002783783783783784,17.809169550981604,22.671662064102957,14.381058426407645
0.28828828828828834,0.028828828828828833,1.931931931931932,0.002882882882882883,18.236916860479827,23.826254156195052,14.928278234564193
0.29819819819819826,0.02981981981981982,1.980980980980981,0.002981981981981982,18.662900453828374,24.975076694745688,15.459580440778403
0.3081081081081081,0.030810810810810815,2.03003003003003,0.0030810810810810814,19.087125638437776,26.118500820625954,15.97589980744236
0.31801801801801804,0.0318018018018018,2.079079079079079,0.00318018018018018,19.50959770761561,27.25686297881814,16.47810016143533
0.32792792792792796,0.0327927927927928,2.128128128128128,0.0032792792792792794,19.93032194060155,28.390469112424277,16.96701959612789
0.33783783783783783,0.033783783783783786,2.1771771771771773,0.0033783783783783786,20.349303602602323,29.519598241553407,17.44344639371405
0.34774774774774775,0.03477477477477477,2.2262262262262262,0.0034774774774774778,20.766547944826577,30.644505532263803,17.908122094153452
0.35765765765765767,0.03576576576576577,2.275275275275275,0.003576576576576577,21.1820602045197,31.765424940336864,18.361761305082958
0.3675675675675676,0.036756756756756756,2.3243243243243246,0.0036756756756756758,21.59584560499851,32.88257149865989,18.805034915713115
0.3774774774774775,0.03774774774774775,2.373373373373373,0.003774774774774775,22.00790935568584,33.996143304355805,19.238587342746918
0.3873873873873874,0.03873873873873874,2.4224224224224224,0.003873873873873874,22.418256652145168,35.10632325174505,19.663010606786557
0.39729729729729735,0.03972972972972973,2.4714714714714714,0.003972972972972973,22.826892676115,36.21328054917854,20.07889448655647
0.40720720720720727,0.04072072072072072,2.5205205205205203,0.004072072072072072,23.23382259554327,37.31717205130013,20.486775399078454
0.4171171171171172,0.041711711711711716,2.5695695695695697,0.004171171171171171,23.639051564621663,38.41814343304905,20.887181442692608
0.4270270270270271,0.042702702702702704,2.618618618618618,0.004270270270270271,24.042584723819793,39.51633022743838,21.28059147316592
0.436936936936937,0.0436936936936937,2.6676676676676676,0.00436936936936937,24.444427199919375,40.61185874564731,21.66748084647739
0.44684684684684695,0.044684684684684686,2.7167167167167166,0.004468468468468469,24.844584106048224,41.70484689508707,22.048291719305823
0.45675675675675675,0.04567567567567568,2.7657657657657655,0.004567567567567567,25.24306054171428,42.79540490872201,22.423426148956388
0.4666666666666667,0.04666666666666667,2.814814814814815,0.004666666666666667,25.639861592839452,43.8836359969531,22.793296336308572
0.4765765765765766,0.047657657657657664,2.863863863863864,0.004765765765765766,26.034992331793465,44.969636931725304,23.158267989464562
0.4864864864864865,0.04864864864864865,2.9129129129129128,0.0048648648648648655,26.42845781742755,46.0534985711425,23.518693273290936
0.49639639639639643,0.049639639639639646,2.961961961961962,0.004963963963963964,26.820263095108142,47.13530633171614,23.87490555962141
0.5063063063063064,0.050630630630630634,3.011011011011011,0.005063063063063063,27.210413196750387,48.2151406143974,24.227217945940367
0.5162162162162163,0.05162162162162163,3.06006006006006,0.005162162162162163,27.598913140851675,49.29307718971617,24.57592554787047
0.5261261261261262,0.052612612612612616,3.109109109109109,0.0052612612612612615,27.985767932525025,50.36918754664845,24.921311570085948
0.5360360360360361,0.05360360360360361,3.158158158158158,0.00536036036036036,28.37098256353244,51.44353920923541,25.26362664209674
